SUPP_ID,SUPP_NAME,COUNTRY_NAME,SUPP_CITY,SUPP_ADDR,DEBAR_FROM_DATE,DEBAR_TO_DATE,DEBAR_REASON,SUPP_ELIG_STAT,INELIGIBLY_STATUS,LAST_REFRESH_DATE
326155,MR. NGO DUNG TOAN,Viet Nam,HÀ NAM,"DIRECTOR, AN HOA LIMITED COMPANY, 231 TRUÒNG CHINH, HAI BÀ TRUNG, PHÛ LÝ",2016-07-26,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
329716,GEORGE C. BENSON,United States,FORT MYERS,"16520 SOUTH TAMIAMI TRAIL, SUITE 18",2016-11-14,2027-09-19,Cross-Debarment: IDB,DEBARRED,,2026-09-23T05:00:01.779Z
329717,REGIONAL COMMUNICATIONS LIMITED,St. Lucia,CASTRIES,"NOBLE HOUSE, 6 BRAZIL STREET, WEST INDIES",2016-11-14,2027-09-19,Cross-Debarment: IDB,DEBARRED,,2026-09-23T05:00:01.779Z
329718,CELLUCIAN LIMITED,St. Lucia,CASTRIES,"NOBLE HOUSE, 6 BRAZIL STREET, WEST INDIES",2016-11-14,2027-09-19,Cross-Debarment: IDB,DEBARRED,,2026-09-23T05:00:01.779Z
329186,MR. IYKE AMBROSE,Nigeria,LAGOS,"10 OBANLE ARO AVENUE, OFF COKER ROAD, ILUPEJU",2017-01-24,2999-12-31,"Consultant Guidelines, 1.22(a)(i)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
327426,CENTRO PRODUCTIVO DE DISENO S.A.,Argentina,BUENOS AIRES,"MEXICO 337, CP 1097, CABA",2016-10-18,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
327428,MR. PABLO MAXIMILIANO KANTT,Argentina,BUENOS AIRES,"CALLE PATERA 62, 4TO PISO OF. B",2016-10-18,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
328481,MR. JAIME SALAZAR ESPINOZA,Peru,JUNIN,"C/O DESARROLLO CON INGENIERÍA CONTRATISTAS GENERALES S.A. (DISA-CGSA), CALLE SAN MARCOS NO. 508, URB. SAN ANTONIO, HUANCAYO",2016-12-27,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
327405,ZANOTTA SUDAMERICANA S.A.,Argentina,BUENOS AIRES,"C/O CENTRO PRODUCTIVO DE DISEÑO S.A., MEXICO 337, CP 1097, CABA",2016-10-18,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
328289,MR. PEWEE FLOMO,Liberia,MONROVIA,"TOPOE AVENUE, GAYE TOWN, OLD ROAD, SINKOR",2016-12-27,2999-12-31,"Consultant Guidelines, 1.22(a)(ii)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
327427,MR. PABLO MAXIMILIANO KANTT,Argentina,BUENOS AIRES,"AV. GRAL ORTIZ DE OCAMPO 2635, 4D, CP 1425, CABA",2016-10-18,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
329180,BEST SCAN SOLUTIONS LIMITED,Nigeria,LAGOS,"10 OBANLE ARO AVENUE, OFF COKER ROAD, ILUPEJU",2017-01-24,2999-12-31,"Consultant Guidelines, 1.22(a)(i)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
306144,MR. SANJAY GUPTA,Nepal,KATHMANDU,"1535 BHATBHATENI, G.P.O. BOXES 3868 AND 10807",2014-01-02,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
308485,DIVIARQ,Bolivia,SANTA CRUZ DE LA SIERRA,"CALLE PEDRO ALMARÁZ NO. 3380 Ó 3379, BARRIO CHACARILLA",2014-06-25,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
